Tarih,ONS,Gram,Ceyrek,Cumhuriyet
2026-04-24,4722.2998046875,6828.466554581789,10953.998431308286,45067.8792602398
2026-04-25,4722.2998046875,6828.466554581789,10953.998431308286,45067.8792602398
2026-04-26,4722.2998046875,6834.083902601598,10963.009593756731,45104.95375717055
2026-04-27,4675.39990234375,6768.766359510415,10858.22936838129,44673.85797276874
2026-04-28,4591.5,6651.861255276651,10670.694097006293,43902.284284825895
2026-04-29,4545.2001953125,6600.174053916325,10587.779211490772,43561.14875584774
2026-04-30,4614.7001953125,6697.386987479916,10743.724959082365,44202.75411736745
2026-05-01,4629.89990234375,6719.4465614015335,10779.112192248293,44348.34730525012
2026-05-02,4629.89990234375,6719.4465614015335,10779.112192248293,44348.34730525012
2026-05-03,4629.89990234375,6726.0408332049155,10789.69050326622,44391.86949915244
2026-05-04,4519.5,6569.887196852674,10539.194044951164,43361.25549922765
2026-05-05,4555.7998046875,6624.881389099134,10627.413895013193,43724.21716805428
2026-05-06,4681.89990234375,6807.996123358743,10921.160447887982,44932.7744141677
2026-05-07,4699.7998046875,6833.397413061684,10961.908350119786,45100.42292620712
2026-05-08,4720.39990234375,6863.3494663156625,11009.956435548042,45298.106477683374
2026-05-09,4720.39990234375,6863.3494663156625,11009.956435548042,45298.106477683374
2026-05-10,4720.39990234375,6882.889092632666,11041.3012527649,45427.06801137559
2026-05-11,4718.7001953125,6885.386611689426,11045.30768958512,45443.55163715021
2026-05-12,4677.60009765625,6827.655390541798,10952.697188994134,45062.52557757586
2026-05-13,4697.7001953125,6861.570847863005,11007.103235113571,45286.367595895834
2026-05-14,4678.10009765625,6849.712533665833,10988.080522755607,45208.1027221945
2026-05-15,4555.7998046875,6670.639441570443,10700.817437519252,44026.220314364924
2026-05-16,4555.7998046875,6670.639441570443,10700.817437519252,44026.220314364924
2026-05-17,4555.7998046875,6663.368462783118,10689.153575714585,43978.231854368576
2026-05-18,4552.5,6670.30138178896,10700.275133286455,44023.989119807135
2026-05-19,4506.2998046875,6604.289763853349,10594.381496181413,43588.3124414321
2026-05-20,4531.2998046875,6641.948756739048,10654.792797268889,43836.861794477714
2026-05-21,4539.7998046875,6672.287479094269,10703.46116438039,44037.09736202218
2026-05-22,4521.0,6644.656811042275,10659.13696771365,43854.734952879015
2026-05-23,4521.0,6644.656811042275,10659.13696771365,43854.734952879015
2026-05-24,4521.0,6646.634084160763,10662.308843341225,43867.78495546104
2026-05-25,4521.0,6671.3583153311,10701.97063084364,44030.96488118526
2026-05-26,4500.39990234375,6640.410288393082,10652.324837630567,43826.707903394345
2026-05-27,4447.5,6562.2269272323265,10526.905695768524,43310.697719733354
2026-05-28,4499.2998046875,6638.512271841408,10649.280102745592,43814.180994153285
2026-05-29,4560.5,6728.810377159452,10794.133313359955,44410.14848925239
2026-05-30,4560.5,6728.810377159452,10794.133313359955,44410.14848925239
2026-05-31,4560.5,6729.675651031626,10795.521356863233,44415.85929680874
2026-06-01,4475.2001953125,6607.788771890119,10599.9944882404,43611.40589447479
2026-06-02,4489.10009765625,6631.155588771564,10637.478756987717,43765.62688589232
2026-06-03,4436.7001953125,6557.846234791597,10519.878334978186,43281.78514962454
2026-06-04,4475.7998046875,6628.676234713573,10633.501459853022,43749.263149109574
2026-06-05,4337.10009765625,6423.261450344331,10303.981909927363,42393.525572272585
2026-06-06,4337.10009765625,6423.261450344331,10303.981909927363,42393.525572272585
2026-06-07,4337.10009765625,6426.984392214506,10309.954129177437,42418.09698861574
2026-06-08,4335.89990234375,6427.367012517941,10310.567915914196,42420.6222826184
2026-06-09,4260.0,6316.690901340013,10133.02498756627,41690.159948844084
2026-06-10,4108.2001953125,6095.685172592798,9778.494964367614,40231.52213911247
2026-06-11,4090.300048828125,6080.947231142328,9754.852849957484,40134.25172553936
2026-06-12,4215.0,6266.335543429943,10052.246600918867,41357.81458663762
2026-06-13,4215.0,6266.335543429943,10052.246600918867,41357.81458663762
2026-06-14,4215.0,6269.539081513942,10057.385609928615,41378.95793799202
2026-06-15,4328.0,6440.3969735903165,10331.470145134466,42506.62002569609
2026-06-16,4330.89990234375,6447.636311420731,10343.083249570755,42554.39965537682
2026-06-17,4358.89990234375,6508.191092362328,10440.223210664568,42954.06120959136
2026-06-18,4224.10009765625,6304.186590450537,10112.965988847734,41607.63149697354
2026-06-19,4224.10009765625,6304.186590450537,10112.965988847734,41607.63149697354
2026-06-20,4224.10009765625,6304.186590450537,10112.965988847734,41607.63149697354
2026-06-21,4224.10009765625,6308.560620945108,10119.982662766111,41636.50009823771
2026-06-22,4181.89990234375,6247.481862348101,10022.002154183412,41233.380291497466
2026-06-23,4129.89990234375,6170.372193557376,9898.305393831622,40724.45647747868
2026-06-24,3990.300048828125,5966.249849309619,9570.859133267513,39377.24900544349
2026-06-25,4030.5,6035.908124641836,9682.602616612945,39836.99362263612
2026-06-26,4078.699951171875,6108.090354361638,9798.394943455127,40313.396338786806
2026-06-27,4078.699951171875,6108.090354361638,9798.394943455127,40313.396338786806
2026-06-28,4078.699951171875,6112.92911079404,9806.157115232107,40345.33213124066
2026-06-29,4022.300048828125,6031.568636713368,9675.641354727693,39808.35300230823
2026-06-30,4022.89990234375,6034.278876452846,9679.98903097644,39826.240584588784
2026-07-01,4068.300048828125,6105.321148114157,9793.952675099794,40295.119577553436
2026-07-02,4112.7001953125,6178.074643977741,9910.661408047627,40775.29265025309
2026-07-03,4112.7001953125,6178.074643977741,9910.661408047627,40775.29265025309
2026-07-04,4112.7001953125,6178.074643977741,9910.661408047627,40775.29265025309
2026-07-05,4112.7001953125,6189.194717816743,9928.499859831023,40848.6851375905
2026-07-06,4155.10009765625,6254.458696859845,10033.194159546001,41279.42739927497
2026-07-07,4145.2998046875,6244.157873878221,10016.669922679646,41211.441967596256
2026-07-08,4070.89990234375,6134.208063651992,9840.292102108404,40485.77322010315
2026-07-09,4130.60009765625,6234.738092885151,10001.559024003263,41149.271413042
2026-07-10,4104.10009765625,6194.738926769989,9937.393695026856,40885.27691668193
2026-07-11,4104.10009765625,6194.738926769989,9937.393695026856,40885.27691668193
2026-07-12,4104.10009765625,6199.8640209844125,9945.61520032916,40919.10253849712
2026-07-13,3997.0,6042.706617313371,9693.508531940199,39881.86367426824
2026-07-14,4061.10009765625,6140.031703484388,9849.634191006206,40524.20924299696
2026-07-15,4044.0,6115.581948761732,9810.412709471944,40362.84086182743
2026-07-16,3985.60009765625,6035.659518822994,9682.203811445219,39835.352824231755
2026-07-17,4012.699951171875,6076.698630831867,9748.037386959453,40106.210963490325
2026-07-18,4012.699951171875,6076.698630831867,9748.037386959453,40106.210963490325
2026-07-19,4012.699951171875,6081.735178115275,9756.116848226586,40139.45217556081
2026-07-20,4010.300048828125,6083.185471931339,9758.443361223188,40149.02411474683
2026-07-21,4071.10009765625,6177.650846904312,9909.981566909,40772.49558956846
2026-07-22,4146.89990234375,6294.632142670214,10097.639062200136,41544.57214162341
2026-07-23,4046.60009765625,6155.9684317549,9875.199359273485,40629.391649582336
2026-07-24,4067.60009765625,6187.915086711421,9926.447118266238,40840.23957229538
2026-07-25,4067.60009765625,6187.915086711421,9926.447118266238,40840.23957229538
2026-07-26,4067.60009765625,6192.387972405658,9933.622372400741,40869.76061787734
2026-07-27,4074.5,6203.337418179708,9951.187108329947,40942.02695998607
2026-07-28,4036.300048828125,6148.942067157357,9863.927899398259,40583.017643238556
2026-07-29,4034.699951171875,6144.751749284806,9857.205931144375,40555.36154527972
2026-07-30,4100.10009765625,6261.690637831227,10044.795398187593,41327.158209686095
2026-07-31,4049.10009765625,6183.803216811448,9919.850993635031,40813.10123095555
2026-08-01,4049.10009765625,6183.803216811448,9919.850993635031,40813.10123095555
2026-08-02,4049.10009765625,6188.060097633819,9926.679739954252,40841.196644383206
2026-08-03,4033.699951171875,6165.290059693396,9890.152804091489,40690.91439397641
2026-08-04,4095.39990234375,6263.307929499041,10047.38980357138,41337.83233469367
2026-08-05,4245.7998046875,6490.921243723287,10412.51949513944,42840.080208573694
2026-08-06,4242.0,6500.0041118054405,10427.089929354559,42900.02713791591
2026-08-07,4340.7001953125,6651.242130515306,10669.700917701637,43898.19806140102
2026-08-08,4340.7001953125,6651.242130515306,10669.700917701637,43898.19806140102
2026-08-09,4340.7001953125,6655.666094990336,10676.797694046996,43927.39622693622
2026-08-10,4361.7998046875,6692.477846295654,10735.849878432611,44170.35378555131
2026-08-11,4383.0,6728.796419391451,10794.110922773785,44410.05636798358
2026-08-12,4408.89990234375,6769.663831392057,10859.669062858091,44679.78128718757
2026-08-13,4363.60009765625,6717.18174216257,10775.479044719123,44333.399498272964
2026-08-14,4380.39990234375,6743.042806144896,10816.964501524102,44504.08252055631
2026-08-15,4380.39990234375,6743.042806144896,10816.964501524102,44504.08252055631
2026-08-16,4380.39990234375,6739.902128322422,10811.926330850552,44483.35404692798
2026-08-17,4417.7998046875,6803.967233835455,10914.697437611041,44906.183743314
2026-08-18,4366.0,6725.14322706371,10788.250593414701,44385.945298620485
2026-08-19,4489.39990234375,6915.221563634344,11093.16792499676,45640.46231998668
2026-08-20,4575.10009765625,7053.2456398817385,11314.581547310288,46551.42122321948
